mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,meansrc
weight_test10.0,18,0.95,0.8,0.1,5.60338020324707,6.540428400039673,2.3900325298309326,2.460693836212158,0.002127385465428233,chunk_6
weight_test10.0,18,0.95,0.8,0.5,4.695439338684082,6.461158096790314,3.653740644454956,5.171417236328125,0.0020901469979435205,chunk_6
weight_test10.0,18,0.95,0.8,1.0,2.669037342071533,3.4728928804397583,4.16736364364624,7.758383274078369,0.0022136298939585686,chunk_6
weight_test10.0,18,0.95,0.8,1.5,1.6008808612823486,2.622084379196167,4.0849289894104,8.517436027526855,0.0021811004262417555,chunk_6
weight_test10.0,18,0.95,1.0,0.1,7.379978179931641,8.49585247039795,3.0545034408569336,3.2474379539489746,0.0021061324514448643,chunk_6
weight_test10.0,18,0.95,1.0,0.5,5.523007869720459,8.498721182346344,3.237373113632202,4.612659454345703,0.0021775371860712767,chunk_6
weight_test10.0,18,0.95,1.0,1.0,1.9131412506103516,2.0244247913360596,5.712960720062256,11.770947456359863,0.0021499129943549633,chunk_6
weight_test10.0,18,0.95,1.0,1.5,3.703643560409546,5.215260326862335,4.28065299987793,9.051033020019531,0.0020973505452275276,chunk_6
weight_test10.0,18,1.05,0.6,0.1,4.906416893005371,6.179814577102661,3.1603317260742188,3.5012292861938477,0.0024191378615796566,chunk_6
weight_test10.0,18,1.05,0.6,0.5,4.603068828582764,6.361634910106659,3.802229881286621,5.332775592803955,0.0023341893684118986,chunk_6
weight_test10.0,18,1.05,0.6,1.0,2.70045804977417,3.375327467918396,3.4478979110717773,5.935441017150879,0.0024219052866101265,chunk_6
weight_test10.0,18,1.05,0.6,1.5,0.9763443470001221,1.044155776500702,3.1352365016937256,5.915207862854004,0.002383404178544879,chunk_6
weight_test10.0,18,1.05,0.8,0.1,5.190712928771973,6.366429269313812,2.545064926147461,2.914212226867676,0.0023648315109312534,chunk_6
weight_test10.0,18,1.05,0.8,0.5,4.945366859436035,7.693873226642609,3.428866386413574,4.8259782791137695,0.0023729202803224325,chunk_6
weight_test10.0,18,1.05,0.8,1.0,3.0768566131591797,4.4013842940330505,4.6769866943359375,8.686076164245605,0.0023700487799942493,chunk_6
weight_test10.0,18,1.05,0.8,1.5,2.1762535572052,2.942558228969574,5.159280776977539,11.163191795349121,0.0024528205394744873,chunk_6
weight_test10.0,18,1.05,1.0,0.1,5.738317012786865,8.235844790935516,2.6601545810699463,3.020258665084839,0.002407405525445938,chunk_6
weight_test10.0,18,1.05,1.0,0.5,4.59323787689209,6.527988612651825,3.7661585807800293,5.5751190185546875,0.0023428730200976133,chunk_6
