model,seed,rho_target,leak,input_scale,d_max,mc_total,capture_pct_vs_ref
cel_randN,7,0.95,0.8,1.0,50,8.679561614990234,99.02467897314929
cel_randN,7,0.95,0.8,1.0,80,8.76504898071289,100.0
er_randN,7,0.95,0.8,1.0,30,9.546847343444824,98.44387287235952
er_randN,7,0.95,0.8,1.0,50,9.593097686767578,98.92079082805454
er_randN,7,0.95,0.8,1.0,80,9.69775676727295,100.0
ws_p01_randN,7,0.95,0.8,1.0,30,9.358905792236328,98.92025133050865
ws_p01_randN,7,0.95,0.8,1.0,50,9.406956672668457,99.42813176808517
ws_p01_randN,7,0.95,0.8,1.0,80,9.461061477661133,100.0
local_sign,7,0.95,0.8,1.0,30,5.843991279602051,98.6125078028332
local_sign,7,0.95,0.8,1.0,50,5.872697353363037,99.09689899838898
local_sign,7,0.95,0.8,1.0,80,5.926217079162598,100.0
local_sign+flat,7,0.95,0.8,1.0,30,7.256034851074219,98.62157992245342
local_sign+flat,7,0.95,0.8,1.0,50,7.323066711425781,99.53265437409193
local_sign+flat,7,0.95,0.8,1.0,80,7.357451438903809,100.0
local_sign+binary,7,0.95,0.8,1.0,30,5.235193252563477,98.44152280904991
local_sign+binary,7,0.95,0.8,1.0,50,5.27500057220459,99.1900516551434
local_sign+binary,7,0.95,0.8,1.0,80,5.3180742263793945,100.0
global_sign_pres,7,0.95,0.8,1.0,30,4.718516826629639,97.60559965500765
global_sign_pres,7,0.95,0.8,1.0,50,4.758731365203857,98.43746362765131
global_sign_pres,7,0.95,0.8,1.0,80,4.834268569946289,100.0
global_sign_pres_real_weight,7,0.95,0.8,1.0,30,3.6506853103637695,96.68482485948195
global_sign_pres_real_weight,7,0.95,0.8,1.0,50,3.6937906742095947,97.82642820231365
global_sign_pres_real_weight,7,0.95,0.8,1.0,80,3.7758617401123047,100.0
binary_base,7,0.95,0.8,1.0,30,3.8989365100860596,96.20339746020548
binary_base,7,0.95,0.8,1.0,50,3.99271821975708,98.51739233204802
binary_base,7,0.95,0.8,1.0,80,4.052805423736572,100.0
real,8,0.95,0.8,1.0,30,3.9916601181030273,97.00962851317428
real,8,0.95,0.8,1.0,50,4.039898872375488,98.18197873675335
real,8,0.95,0.8,1.0,80,4.1147050857543945,100.0
cel_randN,8,0.95,0.8,1.0,30,8.013423919677734,98.40821680369147
cel_randN,8,0.95,0.8,1.0,50,8.055951118469238,98.93046869510223
cel_randN,8,0.95,0.8,1.0,80,8.143043518066406,100.0
er_randN,8,0.95,0.8,1.0,30,8.654159545898438,98.75031857419792
er_randN,8,0.95,0.8,1.0,50,8.700056076049805,99.27403170311126
er_randN,8,0.95,0.8,1.0,80,8.763677597045898,100.0
ws_p01_randN,8,0.95,0.8,1.0,30,8.937707901000977,98.8600759710251
ws_p01_randN,8,0.95,0.8,1.0,50,8.968850135803223,99.20454053985631
ws_p01_randN,8,0.95,0.8,1.0,80,9.040765762329102,100.0
local_sign,8,0.95,0.8,1.0,30,6.130761623382568,98.44207925003214
local_sign,8,0.95,0.8,1.0,50,6.1667046546936035,99.0192190825959
local_sign,8,0.95,0.8,1.0,80,6.227785587310791,100.0
local_sign+flat,8,0.95,0.8,1.0,30,5.464576244354248,97.95288707685339
local_sign+flat,8,0.95,0.8,1.0,50,5.506324768066406,98.70123209867046
local_sign+flat,8,0.95,0.8,1.0,80,5.578780174255371,100.0
local_sign+binary,8,0.95,0.8,1.0,30,3.748811960220337,97.1550809712334
local_sign+binary,8,0.95,0.8,1.0,50,3.7872700691223145,98.1517702488019
local_sign+binary,8,0.95,0.8,1.0,80,3.8585855960845947,100.0
global_sign_pres,8,0.95,0.8,1.0,30,4.005300521850586,97.48385892786514
global_sign_pres,8,0.95,0.8,1.0,50,4.047077655792236,98.50066059090157
global_sign_pres,8,0.95,0.8,1.0,80,4.108680725097656,100.0
global_sign_pres_real_weight,8,0.95,0.8,1.0,30,5.433612823486328,98.07161851608384
global_sign_pres_real_weight,8,0.95,0.8,1.0,50,5.4842705726623535,98.98594340699262
global_sign_pres_real_weight,8,0.95,0.8,1.0,80,5.540453910827637,100.0
binary_base,8,0.95,0.8,1.0,30,3.705156087875366,96.87971114661302
binary_base,8,0.95,0.8,1.0,50,3.7366769313812256,97.70389510580928
binary_base,8,0.95,0.8,1.0,80,3.824491262435913,100.0
real,9,0.95,0.8,1.0,30,3.073026180267334,96.6691271687581
real,9,0.95,0.8,1.0,50,3.117572784423828,98.07044335987686
real,9,0.95,0.8,1.0,80,3.1789116859436035,100.0
cel_randN,9,0.95,0.8,1.0,30,7.81426477432251,98.36823284380019
cel_randN,9,0.95,0.8,1.0,50,7.854892730712891,98.87966934993307
cel_randN,9,0.95,0.8,1.0,80,7.943890571594238,100.0
er_randN,9,0.95,0.8,1.0,30,9.234638214111328,98.23603219447187
er_randN,9,0.95,0.8,1.0,50,9.254436492919922,98.44664189128319
