model,seed,rho_target,leak,input_scale,order,ipc_contrib
cel,21,0.95,0.8,1.0,9,0.0
cel,21,0.95,0.8,1.0,10,6.103515625e-05
er,21,0.95,0.8,1.0,1,5.676348447799683
er,21,0.95,0.8,1.0,2,0.0
er,21,0.95,0.8,1.0,3,1.7708839774131775
er,21,0.95,0.8,1.0,4,1.6689300537109375e-06
er,21,0.95,0.8,1.0,5,4.023313522338867e-05
er,21,0.95,0.8,1.0,6,0.0
er,21,0.95,0.8,1.0,7,0.0001888275146484375
er,21,0.95,0.8,1.0,8,0.0
er,21,0.95,0.8,1.0,9,0.0
er,21,0.95,0.8,1.0,10,0.0
cel,22,0.95,0.8,1.0,1,2.474567174911499
cel,22,0.95,0.8,1.0,2,0.03197741508483887
cel,22,0.95,0.8,1.0,3,0.1830570101737976
cel,22,0.95,0.8,1.0,4,0.0
cel,22,0.95,0.8,1.0,5,0.0
cel,22,0.95,0.8,1.0,6,0.0
cel,22,0.95,0.8,1.0,7,0.0
cel,22,0.95,0.8,1.0,8,0.0441092848777771
cel,22,0.95,0.8,1.0,9,0.0
cel,22,0.95,0.8,1.0,10,0.03712576627731323
er,22,0.95,0.8,1.0,1,5.228765964508057
er,22,0.95,0.8,1.0,2,0.0002811551094055176
er,22,0.95,0.8,1.0,3,1.6462743282318115
er,22,0.95,0.8,1.0,4,0.0
er,22,0.95,0.8,1.0,5,0.0
er,22,0.95,0.8,1.0,6,0.0
er,22,0.95,0.8,1.0,7,8.13603401184082e-05
er,22,0.95,0.8,1.0,8,5.0067901611328125e-05
er,22,0.95,0.8,1.0,9,0.0
er,22,0.95,0.8,1.0,10,0.00016033649444580078
cel,23,0.95,0.8,1.0,1,2.7704467177391052
cel,23,0.95,0.8,1.0,2,0.002027153968811035
cel,23,0.95,0.8,1.0,3,1.299695909023285
cel,23,0.95,0.8,1.0,4,0.0
cel,23,0.95,0.8,1.0,5,0.5546371936798096
cel,23,0.95,0.8,1.0,6,0.005338490009307861
cel,23,0.95,0.8,1.0,7,0.0008813142776489258
cel,23,0.95,0.8,1.0,8,0.0
cel,23,0.95,0.8,1.0,9,0.0
cel,23,0.95,0.8,1.0,10,0.0027002692222595215
er,23,0.95,0.8,1.0,1,4.594573736190796
er,23,0.95,0.8,1.0,2,0.0
er,23,0.95,0.8,1.0,3,1.5176250338554382
er,23,0.95,0.8,1.0,4,1.3113021850585938e-06
er,23,0.95,0.8,1.0,5,0.0002791881561279297
er,23,0.95,0.8,1.0,6,0.0
er,23,0.95,0.8,1.0,7,0.00024265050888061523
er,23,0.95,0.8,1.0,8,0.0
er,23,0.95,0.8,1.0,9,0.00021898746490478516
er,23,0.95,0.8,1.0,10,0.0
cel,24,0.95,0.8,1.0,1,3.557671010494232
cel,24,0.95,0.8,1.0,2,0.0
cel,24,0.95,0.8,1.0,3,1.1425654292106628
cel,24,0.95,0.8,1.0,4,8.32676887512207e-05
cel,24,0.95,0.8,1.0,5,0.5166362524032593
cel,24,0.95,0.8,1.0,6,0.0010779500007629395
cel,24,0.95,0.8,1.0,7,0.0008438825607299805
cel,24,0.95,0.8,1.0,8,0.0
cel,24,0.95,0.8,1.0,9,0.0007933974266052246
cel,24,0.95,0.8,1.0,10,0.0
er,24,0.95,0.8,1.0,1,5.033388912677765
er,24,0.95,0.8,1.0,2,0.0
er,24,0.95,0.8,1.0,3,1.5846667885780334
er,24,0.95,0.8,1.0,4,0.0
er,24,0.95,0.8,1.0,5,0.0
er,24,0.95,0.8,1.0,6,0.00017780065536499023
er,24,0.95,0.8,1.0,7,0.0005148649215698242
er,24,0.95,0.8,1.0,8,0.0
er,24,0.95,0.8,1.0,9,0.0005446672439575195
er,24,0.95,0.8,1.0,10,0.0
cel,25,0.95,0.8,1.0,1,2.6780375242233276
cel,25,0.95,0.8,1.0,2,0.0030350089073181152
cel,25,0.95,0.8,1.0,3,1.1507978439331055
cel,25,0.95,0.8,1.0,4,0.0
cel,25,0.95,0.8,1.0,5,0.7553340792655945
cel,25,0.95,0.8,1.0,6,0.0
cel,25,0.95,0.8,1.0,7,0.009380877017974854
cel,25,0.95,0.8,1.0,8,0.0004074573516845703
cel,25,0.95,0.8,1.0,9,0.005104124546051025
cel,25,0.95,0.8,1.0,10,0.00025600194931030273
er,25,0.95,0.8,1.0,1,5.110966742038727
er,25,0.95,0.8,1.0,2,0.0
er,25,0.95,0.8,1.0,3,1.9407998323440552
er,25,0.95,0.8,1.0,4,4.76837158203125e-06
er,25,0.95,0.8,1.0,5,0.0
er,25,0.95,0.8,1.0,6,0.0
er,25,0.95,0.8,1.0,7,0.0002912282943725586
er,25,0.95,0.8,1.0,8,0.0
er,25,0.95,0.8,1.0,9,0.00014090538024902344
er,25,0.95,0.8,1.0,10,0.0
cel,26,0.95,0.8,1.0,1,2.8320469856262207
cel,26,0.95,0.8,1.0,2,1.4901161193847656e-05
cel,26,0.95,0.8,1.0,3,1.5576712489128113
cel,26,0.95,0.8,1.0,4,1.7583370208740234e-05
cel,26,0.95,0.8,1.0,5,0.6864001154899597
cel,26,0.95,0.8,1.0,6,0.0
cel,26,0.95,0.8,1.0,7,0.051622092723846436
cel,26,0.95,0.8,1.0,8,0.000296175479888916
cel,26,0.95,0.8,1.0,9,0.0
cel,26,0.95,0.8,1.0,10,0.0060558319091796875
