mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,mean,src
weight_test10.0,0,0.95,0.8,1.0,3.153988838195801,4.129477381706238,3.327826738357544,5.9023847579956055,0.002151171211153269,chunk_0
weight_test10.0,0,0.95,0.8,1.5,2.8946003913879395,3.2877429127693176,3.8233494758605957,7.770440578460693,0.002202320145443082,chunk_0
weight_test10.0,0,0.95,1.0,0.1,7.665527820587158,8.621017098426819,3.283341884613037,3.506758689880371,0.0022844106424599886,chunk_0
weight_test10.0,0,0.95,1.0,0.5,6.163933753967285,8.996461570262909,3.7763278484344482,5.37112283706665,0.002251812256872654,chunk_0
weight_test10.0,0,0.95,1.0,1.0,3.902541399002075,5.308480620384216,4.125925064086914,7.620607852935791,0.0022677667438983917,chunk_0
weight_test10.0,0,0.95,1.0,1.5,3.682152271270752,5.657206892967224,4.979680061340332,10.77236557006836,0.0022018186282366514,chunk_0
weight_test10.0,0,1.05,0.6,0.1,4.733033180236816,5.943660199642181,3.25343656539917,3.5640459060668945,0.0023604840971529484,chunk_0
weight_test10.0,0,1.05,0.6,0.5,4.958988189697266,7.6714330315589905,3.0585341453552246,4.337489604949951,0.0023746872320771217,chunk_0
weight_test10.0,0,1.05,0.6,1.0,1.4639782905578613,2.6274938583374023,3.9468836784362793,6.63743257522583,0.0024414127692580223,chunk_0
weight_test10.0,0,1.05,0.6,1.5,0.4506183862686157,1.111251175403595,3.8851590156555176,7.367278575897217,0.002327685710042715,chunk_0
weight_test10.0,0,1.05,0.8,0.1,4.852463722229004,6.515425086021423,2.7519454956054688,3.1616146564483643,0.0024171548429876566,chunk_0
weight_test10.0,0,1.05,0.8,0.5,4.337309837341309,6.514810264110565,4.012481212615967,5.663700580596924,0.002428972627967596,chunk_0
weight_test10.0,0,1.05,0.8,1.0,3.759204387664795,4.762915074825287,4.238532066345215,7.9235944747924805,0.002402357989922166,chunk_0
weight_test10.0,0,1.05,0.8,1.5,3.2180166244506836,4.106965065002441,3.8955657482147217,8.047001838684082,0.0022941255010664463,chunk_0
weight_test10.0,0,1.05,1.0,0.1,6.263598442077637,8.361961305141449,2.995979070663452,3.2828850746154785,0.0023814935702830553,chunk_0
weight_test10.0,0,1.05,1.0,0.5,4.969393730163574,8.226208329200745,4.228850841522217,6.493161201477051,0.002460931893438101,chunk_0
weight_test10.0,0,1.05,1.0,1.0,4.433440208435059,6.411458134651184,4.84462308883667,9.506341934204102,0.0024082744494080544,chunk_0
weight_test10.0,0,1.05,1.0,1.5,3.015860080718994,4.192824959754944,5.431275367736816,11.960805892944336,0.0023162267170846462,chunk_0
weight_test100.0,0,0.6,0.6,0.1,4.5027008056640625,4.864376425743103,1.541369915008545,1.5964295864105225,0.0013382917968556285,chunk_0
weight_test100.0,0,0.6,0.6,0.5,4.245355606079102,5.820496201515198,1.9080442190170288,2.447681427001953,0.0013508604606613517,chunk_0
