config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
baseline,cel_sample,8,0.8,0.6,0.5,500,1500,500,4.800077438354492,100.0
baseline,local_sign+flat,8,0.8,0.6,0.5,500,1500,500,4.015420436859131,100.0
baseline,local_sign+sample,8,0.8,0.6,0.5,500,1500,500,3.873600482940674,100.0
baseline,local_sign+binary,8,0.8,0.6,0.5,500,1500,500,3.6338987350463867,100.0
baseline,global_sign_pres,8,0.8,0.6,0.5,500,1500,500,4.284541606903076,100.0
baseline,binary+shuffle,8,0.8,0.6,0.5,500,1500,500,4.229333400726318,100.0
baseline,real,8,0.8,0.6,1.0,500,1500,500,1.8571910858154297,100.0
baseline,shuffle_weights,8,0.8,0.6,1.0,500,1500,500,0.42165708541870117,100.0
baseline,cel_randN,8,0.8,0.6,1.0,500,1500,500,1.6202104091644287,100.0
baseline,er_randN,8,0.8,0.6,1.0,500,1500,500,6.5608930587768555,100.0
baseline,ws_p01_randN,8,0.8,0.6,1.0,500,1500,500,6.363278388977051,100.0
baseline,conn_shuf,8,0.8,0.6,1.0,500,1500,500,1.4341832399368286,100.0
baseline,local_sign,8,0.8,0.6,1.0,500,1500,500,2.429109573364258,100.0
baseline,conn_shuf_only,8,0.8,0.6,1.0,500,1500,500,1.7543070316314697,100.0
baseline,cel_sample,8,0.8,0.6,1.0,500,1500,500,0.7842994928359985,100.0
baseline,local_sign+flat,8,0.8,0.6,1.0,500,1500,500,1.4011380672454834,100.0
baseline,local_sign+sample,8,0.8,0.6,1.0,500,1500,500,1.9749699831008911,100.0
baseline,local_sign+binary,8,0.8,0.6,1.0,500,1500,500,1.596848487854004,100.0
baseline,global_sign_pres,8,0.8,0.6,1.0,500,1500,500,2.041700601577759,100.0
baseline,binary+shuffle,8,0.8,0.6,1.0,500,1500,500,0.7425254583358765,100.0
baseline,real,8,0.8,0.6,1.5,500,1500,500,0.9884000420570374,100.0
baseline,shuffle_weights,8,0.8,0.6,1.5,500,1500,500,1.343045711517334,100.0
baseline,cel_randN,8,0.8,0.6,1.5,500,1500,500,1.6629505157470703,100.0
baseline,er_randN,8,0.8,0.6,1.5,500,1500,500,4.823372840881348,100.0
baseline,ws_p01_randN,8,0.8,0.6,1.5,500,1500,500,5.521950721740723,100.0
baseline,conn_shuf,8,0.8,0.6,1.5,500,1500,500,1.146223783493042,100.0
baseline,local_sign,8,0.8,0.6,1.5,500,1500,500,0.7715728282928467,100.0
baseline,conn_shuf_only,8,0.8,0.6,1.5,500,1500,500,1.8766276836395264,100.0
baseline,cel_sample,8,0.8,0.6,1.5,500,1500,500,1.640061378479004,100.0
baseline,local_sign+flat,8,0.8,0.6,1.5,500,1500,500,0.6843635439872742,100.0
baseline,local_sign+sample,8,0.8,0.6,1.5,500,1500,500,1.9449430704116821,100.0
baseline,local_sign+binary,8,0.8,0.6,1.5,500,1500,500,2.21702241897583,100.0
baseline,global_sign_pres,8,0.8,0.6,1.5,500,1500,500,1.6769400835037231,100.0
baseline,binary+shuffle,8,0.8,0.6,1.5,500,1500,500,0.6423354148864746,100.0
baseline,real,8,0.8,0.8,0.1,500,1500,500,5.991452693939209,100.0
baseline,shuffle_weights,8,0.8,0.8,0.1,500,1500,500,6.566049575805664,100.0
baseline,cel_randN,8,0.8,0.8,0.1,500,1500,500,12.898276329040527,100.0
baseline,er_randN,8,0.8,0.8,0.1,500,1500,500,15.52414608001709,100.0
baseline,ws_p01_randN,8,0.8,0.8,0.1,500,1500,500,18.06057357788086,100.0
baseline,conn_shuf,8,0.8,0.8,0.1,500,1500,500,6.759015083312988,100.0
baseline,local_sign,8,0.8,0.8,0.1,500,1500,500,5.942249774932861,100.0
baseline,conn_shuf_only,8,0.8,0.8,0.1,500,1500,500,6.820944786071777,100.0
baseline,cel_sample,8,0.8,0.8,0.1,500,1500,500,7.2567243576049805,100.0
baseline,local_sign+flat,8,0.8,0.8,0.1,500,1500,500,5.6595001220703125,100.0
baseline,local_sign+sample,8,0.8,0.8,0.1,500,1500,500,6.559334754943848,100.0
baseline,local_sign+binary,8,0.8,0.8,0.1,500,1500,500,5.3415069580078125,100.0
baseline,global_sign_pres,8,0.8,0.8,0.1,500,1500,500,5.923070430755615,100.0
baseline,binary+shuffle,8,0.8,0.8,0.1,500,1500,500,5.906033515930176,100.0
baseline,real,8,0.8,0.8,0.5,500,1500,500,3.9842333793640137,100.0
baseline,shuffle_weights,8,0.8,0.8,0.5,500,1500,500,4.185333251953125,100.0
baseline,cel_randN,8,0.8,0.8,0.5,500,1500,500,6.421865940093994,100.0
