model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,2,even,1.378942012321204
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,3,odd,1.048142271116376
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,4,even,0.04985835216939449
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,5,odd,0.08832164807245135
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,6,even,0.011429216712713242
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,7,odd,0.03053096029907465
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,8,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,9,odd,0.008896889165043831
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.005,10,even,0.010366205126047134
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,1,odd,3.3021519668400288
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,2,even,1.3735823594033718
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,3,odd,1.048142271116376
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,4,even,0.04985835216939449
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,5,odd,0.08140164706856012
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,6,even,0.011429216712713242
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,7,odd,0.02473720908164978
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,8,even,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,9,odd,0.0
global_sign_pres_real_weight,0,0.95,0.8,1.0,0.1,0.01,10,even,0.010366205126047134
binary_base,0,0.95,0.8,1.0,0.0,0.0,1,odd,4.21051525028021
binary_base,0,0.95,0.8,1.0,0.0,0.0,2,even,0.04195456700189215
binary_base,0,0.95,0.8,1.0,0.0,0.0,3,odd,1.501630093318207
binary_base,0,0.95,0.8,1.0,0.0,0.0,4,even,0.037540813553590624
binary_base,0,0.95,0.8,1.0,0.0,0.0,5,odd,0.33072738495191245
binary_base,0,0.95,0.8,1.0,0.0,0.0,6,even,0.03450420891999073
binary_base,0,0.95,0.8,1.0,0.0,0.0,7,odd,0.11322971551237515
binary_base,0,0.95,0.8,1.0,0.0,0.0,8,even,0.03760587581314212
binary_base,0,0.95,0.8,1.0,0.0,0.0,9,odd,0.044288000554850715
binary_base,0,0.95,0.8,1.0,0.0,0.0,10,even,0.04060576533150634
binary_base,0,0.95,0.8,1.0,0.0,0.001,1,odd,4.1946232073241845
binary_base,0,0.95,0.8,1.0,0.0,0.001,2,even,0.02550586953293532
binary_base,0,0.95,0.8,1.0,0.0,0.001,3,odd,1.4876547168241814
binary_base,0,0.95,0.8,1.0,0.0,0.001,4,even,0.0186392345931381
binary_base,0,0.95,0.8,1.0,0.0,0.001,5,odd,0.3175726376939565
binary_base,0,0.95,0.8,1.0,0.0,0.001,6,even,0.016613564104773104
binary_base,0,0.95,0.8,1.0,0.0,0.001,7,odd,0.09534792229533195
binary_base,0,0.95,0.8,1.0,0.0,0.001,8,even,0.01939277385827154
binary_base,0,0.95,0.8,1.0,0.0,0.001,9,odd,0.029583405936136842
binary_base,0,0.95,0.8,1.0,0.0,0.001,10,even,0.024037437397055328
binary_base,0,0.95,0.8,1.0,0.0,0.005,1,odd,4.171990945003927
binary_base,0,0.95,0.8,1.0,0.0,0.005,2,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.005,3,odd,1.467974592000246
binary_base,0,0.95,0.8,1.0,0.0,0.005,4,even,0.0
binary_base,0,0.95,0.8,1.0,0.0,0.005,5,odd,0.29361413419246674
binary_base,0,0.95,0.8,1.0,0.0,0.005,6,even,0.0
