mode,series_kind,metric,raw_rho,raw_rho_sd,performance,performance_sd,cv,cv_sd,n_groups,n_hparams,series,series_key,color,marker,normalization,sign_frac,dataset
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,IPC,100.5592269897461,0.0,7.672379197889963,0.3678893868995156,0.2393597050620038,0.021392660372634084,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.0,Matched C. elegans sweep
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,KR,100.5592269897461,0.0,3.6338437607387704,0.33773788041871844,0.3097038682435557,0.015180574328713427,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.0,Matched C. elegans sweep
sign_test_og_cel0.0__norm_spectral_radius,sign_sweep,MC,100.5592269897461,0.0,4.386342061273754,0.22083144232478724,0.31893097858388453,0.0233381811068456,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.0,Matched C. elegans sweep
sign_test_og_cel0.22058823529411764__norm_spectral_radius,sign_sweep,GR,59.44750877380371,10.356747212889344,12.264239064206679,3.7299644085264982,0.6035122007552084,0.03273041044148913,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.22058823529411764,Matched C. elegans sweep
sign_test_og_cel0.22058823529411764__norm_spectral_radius,sign_sweep,IPC,59.44750877380371,10.356747212889344,9.672008459604129,0.8911716685233463,0.3027823638811578,0.031541525169728,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.22058823529411764,Matched C. elegans sweep
sign_test_og_cel0.22058823529411764__norm_spectral_radius,sign_sweep,KR,59.44750877380371,10.356747212889344,6.571756514894465,1.8462152654765838,0.4281078655972508,0.048923904218600205,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.22058823529411764,Matched C. elegans sweep
sign_test_og_cel0.22058823529411764__norm_spectral_radius,sign_sweep,MC,59.44750877380371,10.356747212889344,5.638553359620273,0.597777088666655,0.3909096516979516,0.04168864011488947,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.22058823529411764,Matched C. elegans sweep
sign_test_og_cel0.2__norm_spectral_radius,sign_sweep,GR,62.42941780090332,10.473748426381151,11.367593595609069,3.29852469063791,0.5949146944209822,0.03321007894186115,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.2,Matched C. elegans sweep
sign_test_og_cel0.2__norm_spectral_radius,sign_sweep,IPC,62.42941780090332,10.473748426381151,9.440962617539634,0.807682260767534,0.29663703025587923,0.03029529935289251,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.2,Matched C. elegans sweep
sign_test_og_cel0.2__norm_spectral_radius,sign_sweep,KR,62.42941780090332,10.473748426381151,6.140849055945873,1.6222263845555005,0.4160683740049464,0.04731161423795504,100,96.0,Matched C. elegans sweep,Matched C. elegans sweep,#d55e00,o,spectral_radius,0.2,Matched C. elegans sweep
