config,model,seed,rho_target,leak,input_scale,washout,t_train,t_test,score,capture_pct_vs_baseline
washout_x0.25,ws_p01_randN,0,0.8,0.8,0.5,125,1500,500,11.25792121887207,98.10629396735499
washout_x0.25,conn_shuf,0,0.8,0.8,0.5,125,1500,500,4.991868019104004,96.30218300890726
washout_x0.25,local_sign,0,0.8,0.8,0.5,125,1500,500,4.749133586883545,93.15813074167664
washout_x0.25,conn_shuf_only,0,0.8,0.8,0.5,125,1500,500,4.7696027755737305,85.10163915346067
washout_x0.25,cel_sample,0,0.8,0.8,0.5,125,1500,500,3.7241339683532715,75.56464193104604
washout_x0.25,local_sign+flat,0,0.8,0.8,0.5,125,1500,500,4.96553373336792,124.03934676330324
washout_x0.25,local_sign+sample,0,0.8,0.8,0.5,125,1500,500,4.240810394287109,98.97508491250562
washout_x0.25,local_sign+binary,0,0.8,0.8,0.5,125,1500,500,3.7555954456329346,85.10417625648812
washout_x0.25,global_sign_pres,0,0.8,0.8,0.5,125,1500,500,3.7926201820373535,83.44727416481656
washout_x0.25,binary+shuffle,0,0.8,0.8,0.5,125,1500,500,3.5315966606140137,103.15401090998938
washout_x0.25,real,0,0.8,0.8,1.0,125,1500,500,4.026554107666016,130.0375323147879
washout_x0.25,shuffle_weights,0,0.8,0.8,1.0,125,1500,500,2.4320948123931885,85.1799313630257
washout_x0.25,cel_randN,0,0.8,0.8,1.0,125,1500,500,3.327877998352051,110.93977611964024
washout_x0.25,er_randN,0,0.8,0.8,1.0,125,1500,500,8.421775817871094,99.8341086010971
washout_x0.25,ws_p01_randN,0,0.8,0.8,1.0,125,1500,500,8.44664192199707,103.38177299479341
washout_x0.25,conn_shuf,0,0.8,0.8,1.0,125,1500,500,1.9966824054718018,68.55341026222007
washout_x0.25,local_sign,0,0.8,0.8,1.0,125,1500,500,3.2549314498901367,99.43057558012335
washout_x0.25,conn_shuf_only,0,0.8,0.8,1.0,125,1500,500,4.186450958251953,145.66731511860863
washout_x0.25,cel_sample,0,0.8,0.8,1.0,125,1500,500,3.0694034099578857,126.49037744484154
washout_x0.25,local_sign+flat,0,0.8,0.8,1.0,125,1500,500,2.9394662380218506,79.24381987012745
washout_x0.25,local_sign+sample,0,0.8,0.8,1.0,125,1500,500,3.5461556911468506,135.81749482043395
washout_x0.25,local_sign+binary,0,0.8,0.8,1.0,125,1500,500,2.4799742698669434,85.23540726675644
washout_x0.25,global_sign_pres,0,0.8,0.8,1.0,125,1500,500,3.667963981628418,162.65564008982528
washout_x0.25,binary+shuffle,0,0.8,0.8,1.0,125,1500,500,2.3232996463775635,74.78778102522989
