model,neuron_bias,capacity_threshold,order,parity,mean_ipc_contrib,std_ipc_contrib,median_ipc_contrib,ratio_to_order3
er_randN,0.1,0.005,10,even,0.09011350153014064,0.03114386230310159,0.07945937826298177,0.023779918218757735
er_randN,0.1,0.01,1,odd,8.841425948916003,0.40945091568488634,8.757727749180049,2.366309075062622
er_randN,0.1,0.01,2,even,2.9973250335548074,0.28190482030100006,2.9216575557366014,0.8022006256448602
er_randN,0.1,0.01,3,odd,3.736378329480067,0.25712831315428275,3.6995726176537573,1.0
er_randN,0.1,0.01,4,even,0.5036786529235542,0.1694050997880803,0.498295976780355,0.13480397553682505
er_randN,0.1,0.01,5,odd,0.8435125885996968,0.23777838594696118,0.8077618288807571,0.22575673933883328
er_randN,0.1,0.01,6,even,0.07931283405050635,0.05800329996078799,0.07118227938190103,0.021227195711078613
er_randN,0.1,0.01,7,odd,0.13271731114946306,0.06312432980930421,0.12995688244700432,0.03552030855717206
er_randN,0.1,0.01,8,even,0.035564422700554134,0.019124569000729716,0.030514074489474297,0.009518421199467527
er_randN,0.1,0.01,9,odd,0.03899862566031516,0.02130751240927706,0.03450779290869832,0.010437547330958315
er_randN,0.1,0.01,10,even,0.030095527600497007,0.01924449258556959,0.024366832338273525,0.008054732403044669
global_sign_pres_real_weight,0.0,0.0,1,odd,4.727790839916044,0.704190724088923,4.602127737743699,2.153565026022245
global_sign_pres_real_weight,0.0,0.0,2,even,0.16728791676850124,0.028009186546801658,0.1713322519114442,0.07620163814928034
global_sign_pres_real_weight,0.0,0.0,3,odd,2.195332289848957,0.5206519923514035,2.1664389909971966,1.0
global_sign_pres_real_weight,0.0,0.0,4,even,0.17350560869392226,0.03009341737792897,0.18046075262528616,0.07903387086146298
global_sign_pres_real_weight,0.0,0.0,5,odd,0.8703738630697322,0.347212080426243,0.8664483868849007,0.39646565902313385
global_sign_pres_real_weight,0.0,0.0,6,even,0.18186871442131797,0.028162586929572707,0.18077489285747106,0.08284336510799051
global_sign_pres_real_weight,0.0,0.0,7,odd,0.3247469053478,0.09348841202918384,0.3573762832431804,0.14792608246569508
global_sign_pres_real_weight,0.0,0.0,8,even,0.16880865416803123,0.02515962328562313,0.16353004878454325,0.07689435214367735
global_sign_pres_real_weight,0.0,0.0,9,odd,0.2106073051967821,0.07016229386914195,0.20365283901365405,0.09593413542478907
global_sign_pres_real_weight,0.0,0.0,10,even,0.17460941435280994,0.026542484372605875,0.17939649039237526,0.07953666748318242
global_sign_pres_real_weight,0.0,0.001,1,odd,4.717759412503801,0.7041770719311184,4.591029045870528,2.159242683195498
global_sign_pres_real_weight,0.0,0.001,2,even,0.15385455032228493,0.03020004513163374,0.15911092492751777,0.07041675571230914
global_sign_pres_real_weight,0.0,0.001,3,odd,2.1849139280267993,0.5201470268999933,2.157142409530934,1.0
global_sign_pres_real_weight,0.0,0.001,4,even,0.16173477686243132,0.03130641271507078,0.16795688157435507,0.07402340878869053
global_sign_pres_real_weight,0.0,0.001,5,odd,0.858550508058397,0.3475099870419489,0.855282410804648,0.39294477326791355
global_sign_pres_real_weight,0.0,0.001,6,even,0.16953027295530773,0.028738277919101125,0.1701871978584677,0.07759128210071456
global_sign_pres_real_weight,0.0,0.001,7,odd,0.31301111658103764,0.09315435222230177,0.34299437917070463,0.14326015893162378
global_sign_pres_real_weight,0.0,0.001,8,even,0.1556127141811885,0.026032210968534815,0.1492809826740995,0.07122143906223467
global_sign_pres_real_weight,0.0,0.001,9,odd,0.19764143958454952,0.07135169719541769,0.1919476663460955,0.09045731140678843
global_sign_pres_real_weight,0.0,0.001,10,even,0.1627708538901061,0.02752057803085394,0.16917482734424993,0.0744976045976808
global_sign_pres_real_weight,0.0,0.005,1,odd,4.653008447005414,0.7100755236907054,4.520777266006917,2.20138272194687
global_sign_pres_real_weight,0.0,0.005,2,even,0.08047223144676537,0.029779811368959422,0.09358998318202794,0.038072181024607694
global_sign_pres_real_weight,0.0,0.005,3,odd,2.1136753734899685,0.5164610533421311,2.0857590676750988,1.0
global_sign_pres_real_weight,0.0,0.005,4,even,0.08491413206793368,0.031159856052733442,0.0833372212946415,0.0401736866185505
global_sign_pres_real_weight,0.0,0.005,5,odd,0.7890277751721442,0.34847078748002625,0.7945512349251658,0.37329657385814685
global_sign_pres_real_weight,0.0,0.005,6,even,0.10033046554308385,0.03362581008480183,0.10523580573499203,0.04746730117663455
global_sign_pres_real_weight,0.0,0.005,7,odd,0.2441558083286509,0.09647465149227558,0.27950390917249024,0.1155124440540347
global_sign_pres_real_weight,0.0,0.005,8,even,0.08434999231249093,0.02934443948637823,0.07150150998495519,0.03990678671399644
global_sign_pres_real_weight,0.0,0.005,9,odd,0.12913040146231652,0.0677210450516137,0.11954826838336885,0.06109282583403736
global_sign_pres_real_weight,0.0,0.005,10,even,0.0861844593193382,0.029987126251581526,0.08639216027222574,0.04077469056993166
global_sign_pres_real_weight,0.0,0.01,1,odd,4.603899408690632,0.7109310600050179,4.470000803470612,2.2375069435520665
global_sign_pres_real_weight,0.0,0.01,2,even,0.03527385890483856,0.019092160766643933,0.035619364120066166,0.017143186073194185
global_sign_pres_real_weight,0.0,0.01,3,odd,2.0576022889930754,0.5156762753474944,2.0432131397537887,1.0
global_sign_pres_real_weight,0.0,0.01,4,even,0.03489504032768309,0.03000829243402387,0.02800064766779542,0.01695907927122282
global_sign_pres_real_weight,0.0,0.01,5,odd,0.74212866416201,0.35102448109992684,0.7515327888540924,0.36067643787720705
global_sign_pres_real_weight,0.0,0.01,6,even,0.03883413621224463,0.027279388834800813,0.03490967070683837,0.018873489993660928
global_sign_pres_real_weight,0.0,0.01,7,odd,0.1850000568665564,0.0907553859580409,0.22404831182211637,0.08991050304336971
