model,seed,rho_target,leak,input_scale,d_max,ipc_kset,capture_pct_vs_ref
local_sign+sample,4,0.95,0.8,1.0,50,5.806737184524536,100.0
local_sign+sample,4,0.95,0.8,1.0,80,5.806737184524536,100.0
local_sign+binary,4,0.95,0.8,1.0,30,2.293956220149994,100.0
local_sign+binary,4,0.95,0.8,1.0,50,2.293956220149994,100.0
local_sign+binary,4,0.95,0.8,1.0,80,2.293956220149994,100.0
global_sign_pres,4,0.95,0.8,1.0,30,3.8556823134422302,100.0
global_sign_pres,4,0.95,0.8,1.0,50,3.8556823134422302,100.0
global_sign_pres,4,0.95,0.8,1.0,80,3.8556823134422302,100.0
binary+shuffle,4,0.95,0.8,1.0,30,3.619321644306183,100.0
binary+shuffle,4,0.95,0.8,1.0,50,3.619321644306183,100.0
binary+shuffle,4,0.95,0.8,1.0,80,3.619321644306183,100.0
real,5,0.95,0.8,1.0,30,4.1203431487083435,100.0
real,5,0.95,0.8,1.0,50,4.1203431487083435,100.0
real,5,0.95,0.8,1.0,80,4.1203431487083435,100.0
shuffle_weights,5,0.95,0.8,1.0,30,6.8141725063323975,100.0
shuffle_weights,5,0.95,0.8,1.0,50,6.8141725063323975,100.0
shuffle_weights,5,0.95,0.8,1.0,80,6.8141725063323975,100.0
cel_randN,5,0.95,0.8,1.0,30,12.164315342903137,100.0
cel_randN,5,0.95,0.8,1.0,50,12.164315342903137,100.0
cel_randN,5,0.95,0.8,1.0,80,12.164315342903137,100.0
er_randN,5,0.95,0.8,1.0,30,12.749728739261627,100.0
er_randN,5,0.95,0.8,1.0,50,12.749728739261627,100.0
er_randN,5,0.95,0.8,1.0,80,12.749728739261627,100.0
ws_p01_randN,5,0.95,0.8,1.0,30,12.414927244186401,100.0
ws_p01_randN,5,0.95,0.8,1.0,50,12.414927244186401,100.0
ws_p01_randN,5,0.95,0.8,1.0,80,12.414927244186401,100.0
conn_shuf,5,0.95,0.8,1.0,30,4.300101578235626,100.0
conn_shuf,5,0.95,0.8,1.0,50,4.300101578235626,100.0
conn_shuf,5,0.95,0.8,1.0,80,4.300101578235626,100.0
local_sign,5,0.95,0.8,1.0,30,6.036163926124573,100.0
local_sign,5,0.95,0.8,1.0,50,6.036163926124573,100.0
local_sign,5,0.95,0.8,1.0,80,6.036163926124573,100.0
conn_shuf_only,5,0.95,0.8,1.0,30,5.326633453369141,100.0
conn_shuf_only,5,0.95,0.8,1.0,50,5.326633453369141,100.0
conn_shuf_only,5,0.95,0.8,1.0,80,5.326633453369141,100.0
cel_sample,5,0.95,0.8,1.0,30,4.121216416358948,100.0
cel_sample,5,0.95,0.8,1.0,50,4.121216416358948,100.0
cel_sample,5,0.95,0.8,1.0,80,4.121216416358948,100.0
local_sign+flat,5,0.95,0.8,1.0,30,5.159208714962006,100.0
local_sign+flat,5,0.95,0.8,1.0,50,5.159208714962006,100.0
local_sign+flat,5,0.95,0.8,1.0,80,5.159208714962006,100.0
local_sign+sample,5,0.95,0.8,1.0,30,5.460793435573578,100.0
local_sign+sample,5,0.95,0.8,1.0,50,5.460793435573578,100.0
local_sign+sample,5,0.95,0.8,1.0,80,5.460793435573578,100.0
local_sign+binary,5,0.95,0.8,1.0,30,4.786605775356293,100.0
local_sign+binary,5,0.95,0.8,1.0,50,4.786605775356293,100.0
local_sign+binary,5,0.95,0.8,1.0,80,4.786605775356293,100.0
global_sign_pres,5,0.95,0.8,1.0,30,5.501630485057831,100.0
global_sign_pres,5,0.95,0.8,1.0,50,5.501630485057831,100.0
global_sign_pres,5,0.95,0.8,1.0,80,5.501630485057831,100.0
binary+shuffle,5,0.95,0.8,1.0,30,6.499671459197998,100.0
binary+shuffle,5,0.95,0.8,1.0,50,6.499671459197998,100.0
binary+shuffle,5,0.95,0.8,1.0,80,6.499671459197998,100.0
real,6,0.95,0.8,1.0,30,5.397990524768829,100.0
real,6,0.95,0.8,1.0,50,5.397990524768829,100.0
real,6,0.95,0.8,1.0,80,5.397990524768829,100.0
shuffle_weights,6,0.95,0.8,1.0,30,3.784127712249756,100.0
shuffle_weights,6,0.95,0.8,1.0,50,3.784127712249756,100.0
shuffle_weights,6,0.95,0.8,1.0,80,3.784127712249756,100.0
cel_randN,6,0.95,0.8,1.0,30,9.285440325737,100.0
cel_randN,6,0.95,0.8,1.0,50,9.285440325737,100.0
cel_randN,6,0.95,0.8,1.0,80,9.285440325737,100.0
er_randN,6,0.95,0.8,1.0,30,12.289571225643158,100.0
er_randN,6,0.95,0.8,1.0,50,12.289571225643158,100.0
er_randN,6,0.95,0.8,1.0,80,12.289571225643158,100.0
ws_p01_randN,6,0.95,0.8,1.0,30,12.46226966381073,100.0
ws_p01_randN,6,0.95,0.8,1.0,50,12.46226966381073,100.0
ws_p01_randN,6,0.95,0.8,1.0,80,12.46226966381073,100.0
conn_shuf,6,0.95,0.8,1.0,30,5.022171437740326,100.0
conn_shuf,6,0.95,0.8,1.0,50,5.022171437740326,100.0
conn_shuf,6,0.95,0.8,1.0,80,5.022171437740326,100.0
local_sign,6,0.95,0.8,1.0,30,6.368978261947632,100.0
local_sign,6,0.95,0.8,1.0,50,6.368978261947632,100.0
local_sign,6,0.95,0.8,1.0,80,6.368978261947632,100.0
conn_shuf_only,6,0.95,0.8,1.0,30,7.4800920486450195,100.0
conn_shuf_only,6,0.95,0.8,1.0,50,7.4800920486450195,100.0
conn_shuf_only,6,0.95,0.8,1.0,80,7.4800920486450195,100.0
cel_sample,6,0.95,0.8,1.0,30,3.841346800327301,100.0
cel_sample,6,0.95,0.8,1.0,50,3.841346800327301,100.0
cel_sample,6,0.95,0.8,1.0,80,3.841346800327301,100.0
local_sign+flat,6,0.95,0.8,1.0,30,5.8957802057266235,100.0
local_sign+flat,6,0.95,0.8,1.0,50,5.8957802057266235,100.0
local_sign+flat,6,0.95,0.8,1.0,80,5.8957802057266235,100.0
local_sign+sample,6,0.95,0.8,1.0,30,4.6845919489860535,100.0
local_sign+sample,6,0.95,0.8,1.0,50,4.6845919489860535,100.0
local_sign+sample,6,0.95,0.8,1.0,80,4.6845919489860535,100.0
local_sign+binary,6,0.95,0.8,1.0,30,6.622596621513367,100.0
local_sign+binary,6,0.95,0.8,1.0,50,6.622596621513367,100.0
local_sign+binary,6,0.95,0.8,1.0,80,6.622596621513367,100.0
global_sign_pres,6,0.95,0.8,1.0,30,5.617991387844086,100.0
global_sign_pres,6,0.95,0.8,1.0,50,5.617991387844086,100.0
global_sign_pres,6,0.95,0.8,1.0,80,5.617991387844086,100.0
binary+shuffle,6,0.95,0.8,1.0,30,4.844968378543854,100.0
binary+shuffle,6,0.95,0.8,1.0,50,4.844968378543854,100.0
binary+shuffle,6,0.95,0.8,1.0,80,4.844968378543854,100.0
real,7,0.95,0.8,1.0,30,5.194020092487335,100.0
real,7,0.95,0.8,1.0,50,5.194020092487335,100.0
real,7,0.95,0.8,1.0,80,5.194020092487335,100.0
