frac_replace,seed_id,rho_target,leak,input_scale,MC,IPC,KR,GR
0.0,1,1.05,1.0,0.5,4.070040225982666,6.431167900562286,4.840648651123047,7.574139595031738
0.0,1,1.05,1.0,1.0,4.264090061187744,6.536482095718384,5.398671627044678,11.112293243408203
0.0,1,1.05,1.0,1.5,3.26495361328125,5.675850749015808,5.200517654418945,11.422684669494629
0.0,2,0.6,0.6,0.1,4.804172039031982,4.735204458236694,1.775669813156128,1.827307939529419
0.0,2,0.6,0.6,0.5,4.002010345458984,4.9479721784591675,1.925869345664978,2.5942418575286865
0.0,2,0.6,0.6,1.0,2.3941731452941895,3.732343912124634,2.0847203731536865,3.1295828819274902
0.0,2,0.6,0.6,1.5,2.726454734802246,3.670532763004303,2.508856773376465,4.563104152679443
0.0,2,0.6,0.8,0.1,4.931119918823242,5.604040026664734,1.8939512968063354,1.9553189277648926
0.0,2,0.6,0.8,0.5,4.502233982086182,6.258127152919769,2.1178970336914062,2.7376232147216797
0.0,2,0.6,0.8,1.0,3.3806934356689453,4.937976181507111,2.4637038707733154,3.8696749210357666
0.0,2,0.6,0.8,1.5,3.291081666946411,4.671270787715912,2.556612014770508,4.702995300292969
0.0,2,0.6,1.0,0.1,5.787015914916992,6.515339732170105,2.023452043533325,2.107196092605591
0.0,2,0.6,1.0,0.5,3.969515323638916,6.575210154056549,2.6708898544311523,3.6794252395629883
0.0,2,0.6,1.0,1.0,3.0845799446105957,5.210315525531769,2.9493818283081055,5.269778251647949
0.0,2,0.6,1.0,1.5,1.6521859169006348,2.500637948513031,2.9384872913360596,5.509219646453857
0.0,2,0.8,0.6,0.1,5.845920085906982,5.883850634098053,1.8752665519714355,1.9466553926467896
0.0,2,0.8,0.6,0.5,5.13531494140625,7.641608893871307,2.2354953289031982,2.962733268737793
0.0,2,0.8,0.6,1.0,3.6558659076690674,5.787948429584503,3.028752565383911,4.96784782409668
0.0,2,0.8,0.6,1.5,1.9781646728515625,3.2581212520599365,3.0539467334747314,5.711688995361328
0.0,2,0.8,0.8,0.1,6.545539855957031,7.211340248584747,2.335258960723877,2.444927930831909
0.0,2,0.8,0.8,0.5,4.845856666564941,6.520665347576141,2.834355115890503,3.9222896099090576
0.0,2,0.8,0.8,1.0,3.749622106552124,5.933225870132446,2.6359667778015137,4.4679436683654785
0.0,2,0.8,0.8,1.5,3.173556327819824,4.976458191871643,4.078705310821533,7.893698692321777
