mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,wt_mag_cv,seed,src
weight_test_cel_to_shuffled_cel0.25,39,1.05,0.8,0.5,5.697467803955078,7.9833476276645,3.3495302200317383,4.204558372497559,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,1.05,0.8,1.0,5.578383922576904,9.329402407975564,3.946568012237549,5.48630428314209,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,1.05,0.8,1.5,5.424304008483887,9.407487132298087,4.29642915725708,6.148932456970215,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,1.05,1.0,0.1,6.2693705558776855,6.426649336152195,2.97953200340271,3.1161510944366455,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,1.05,1.0,0.5,6.698709011077881,9.298103747369971,3.625558376312256,4.598682403564453,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,1.05,1.0,1.0,6.4048285484313965,10.599854448174995,4.309698104858398,6.0875725746154785,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.25,39,1.05,1.0,1.5,6.086705684661865,10.661088512458065,4.727155685424805,6.814321041107178,0.001797656062990427,0.6370882391929626,0.4252020269814868,0.9424552321434021,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.6,0.1,3.352717876434326,3.436755068648221,1.6915180683135986,1.723364233970642,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.6,0.5,4.220642566680908,5.883876697231393,1.9381468296051025,2.344089984893799,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.6,1.0,4.36446475982666,7.229706713890721,2.263930320739746,3.0737152099609375,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.6,1.5,4.388891220092773,7.376266254871098,2.465501546859741,3.5128695964813232,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.8,0.1,3.819974899291992,3.926897854890285,1.7988293170928955,1.8294860124588013,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.8,0.5,4.767509937286377,6.8202295280180465,2.0607595443725586,2.4988577365875244,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.8,1.0,4.937207221984863,8.263821524843934,2.405688524246216,3.2839107513427734,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,0.8,1.5,4.9283671379089355,8.585484458766587,2.6206350326538086,3.7584779262542725,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
weight_test_cel_to_shuffled_cel0.5,39,0.6,1.0,0.1,4.746978282928467,4.91528318095061,1.9390040636062622,1.976465106010437,0.0011361147044226527,0.6684622764587402,0.6542320629744481,0.8411583304405212,3912346,cel_to_shuffled_cel_chunk_3
