mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
real,140,0.8,0.8,1.5,0.1,3.694695472717285,5.974776661325379,4.120547294616699,8.406432151794434,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,0.1,0.0,7.687631607055664,9.01502328253514,3.047318935394287,3.1874430179595947,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,0.1,0.1,7.527860164642334,8.68178166729217,3.190488815307617,3.441870927810669,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,0.5,0.0,6.414105415344238,9.6551033701592,3.5640993118286133,5.063351631164551,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,0.5,0.1,5.092001914978027,8.159748139208887,4.000776767730713,5.948667049407959,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,1.0,0.0,4.542543411254883,7.545067246346189,3.9769864082336426,7.118794918060303,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,1.0,0.1,4.216135501861572,7.165559495152138,4.566667079925537,8.500828742980957,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,1.5,0.0,4.370123386383057,8.247116721529366,4.211488723754883,8.57275104522705,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.8,1.0,1.5,0.1,4.05559778213501,7.148216130729111,4.857198715209961,10.239608764648438,0.0008208871586248279,0.3294062614440918,0.6575650763509905,14012346,chunk_14
real,140,0.95,0.6,0.1,0.0,6.564020156860352,7.426760346420011,2.4999899864196777,2.6136865615844727,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,0.1,0.1,6.450220108032227,7.221957843570976,2.6174347400665283,2.825857400894165,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,0.5,0.0,5.615261077880859,8.843428893697563,2.9533684253692627,4.095504283905029,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,0.5,0.1,4.984003067016602,7.553591573124123,3.3330259323120117,4.875264644622803,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,1.0,0.0,4.169734001159668,7.257958252603061,3.3376948833465576,5.744569778442383,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,1.0,0.1,3.9525043964385986,6.986888144591887,3.8597469329833984,6.963700294494629,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,1.5,0.0,3.340697765350342,6.158648036915338,3.558027744293213,6.912574768066406,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.6,1.5,0.1,3.204850912094116,5.7543534274967385,4.13139009475708,8.389394760131836,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,0.1,0.0,7.2989277839660645,8.431265643307142,2.9708309173583984,3.1202354431152344,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,0.1,0.1,7.02287483215332,7.969267339955735,3.1166138648986816,3.3772199153900146,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,0.5,0.0,5.369875907897949,8.265154919462514,3.5035037994384766,4.9811930656433105,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,0.5,0.1,5.755100250244141,8.295232505565764,3.9498724937438965,5.87758731842041,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,1.0,0.0,4.76998233795166,7.321904931333847,3.920254707336426,7.002913951873779,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
real,140,0.95,0.8,1.0,0.1,3.8033945560455322,6.0773865942394,4.522302627563477,8.393717765808105,0.0009748035809025168,0.32940611243247986,0.6575650906683985,14012346,chunk_14
