model,seed,rho_target,leak,input_scale,neuron_bias,capacity_threshold,order,parity,ipc_contrib
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,6,even,0.15975906555331676
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.2566632546942742
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,8,even,0.09971024979648746
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.09129181388232155
local_sign+flat,2,0.95,0.8,1.0,0.0,0.0,10,even,0.13095237091965828
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,1,odd,4.785583909072329
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,2,even,0.09398158505691612
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,3,odd,2.6641300491692164
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,4,even,0.1016709622708376
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.7552844333639597
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,6,even,0.08737550036408948
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.2484850198585491
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,8,even,0.11514635238410875
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.10332066822684283
local_sign+binary,2,0.95,0.8,1.0,0.0,0.0,10,even,0.14354095507133025
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,1,odd,3.674841521507915
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,2,even,0.12889188019369158
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,3,odd,1.525992564695514
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,4,even,0.13482543589850593
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.21295246280419633
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,6,even,0.1723728421393389
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.16551625416195748
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,8,even,0.09991737212195062
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.07991375607589779
global_sign_pres,2,0.95,0.8,1.0,0.0,0.0,10,even,0.11245404385567781
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,1,odd,5.208849892319336
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,2,even,0.08168761455006734
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,3,odd,1.4581004173341512
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,4,even,0.1339539496503903
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.4196922985402125
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,6,even,0.13607855249962597
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.09543684635565342
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,8,even,0.09112399179400654
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.1282461409205098
global_sign_pres_real_weight,2,0.95,0.8,1.0,0.0,0.0,10,even,0.1224815441962619
binary_base,2,0.95,0.8,1.0,0.0,0.0,1,odd,3.1708250562910507
binary_base,2,0.95,0.8,1.0,0.0,0.0,2,even,0.10501584485848525
binary_base,2,0.95,0.8,1.0,0.0,0.0,3,odd,1.3605961085449962
binary_base,2,0.95,0.8,1.0,0.0,0.0,4,even,0.10717891004907898
binary_base,2,0.95,0.8,1.0,0.0,0.0,5,odd,0.7823766093010818
binary_base,2,0.95,0.8,1.0,0.0,0.0,6,even,0.12845295869954043
binary_base,2,0.95,0.8,1.0,0.0,0.0,7,odd,0.1123888537027824
binary_base,2,0.95,0.8,1.0,0.0,0.0,8,even,0.11272237864244516
binary_base,2,0.95,0.8,1.0,0.0,0.0,9,odd,0.12778058425681138
binary_base,2,0.95,0.8,1.0,0.0,0.0,10,even,0.08800626806078071
real,3,0.95,0.8,1.0,0.0,0.0,1,odd,5.251804493261524
real,3,0.95,0.8,1.0,0.0,0.0,2,even,0.07253017711576604
real,3,0.95,0.8,1.0,0.0,0.0,3,odd,2.8290216752734523
real,3,0.95,0.8,1.0,0.0,0.0,4,even,0.10880420864657481
real,3,0.95,0.8,1.0,0.0,0.0,5,odd,1.3186689129828437
real,3,0.95,0.8,1.0,0.0,0.0,6,even,0.10588138001739145
real,3,0.95,0.8,1.0,0.0,0.0,7,odd,0.44682223976042224
real,3,0.95,0.8,1.0,0.0,0.0,8,even,0.15960378220218674
real,3,0.95,0.8,1.0,0.0,0.0,9,odd,0.19182513208897944
real,3,0.95,0.8,1.0,0.0,0.0,10,even,0.0807605230883155
cel_randN,3,0.95,0.8,1.0,0.0,0.0,1,odd,8.07484436921493
cel_randN,3,0.95,0.8,1.0,0.0,0.0,2,even,0.07410330691686795
cel_randN,3,0.95,0.8,1.0,0.0,0.0,3,odd,4.779662422581396
cel_randN,3,0.95,0.8,1.0,0.0,0.0,4,even,0.1003845600917952
cel_randN,3,0.95,0.8,1.0,0.0,0.0,5,odd,1.6354471412045086
cel_randN,3,0.95,0.8,1.0,0.0,0.0,6,even,0.12516001700171842
cel_randN,3,0.95,0.8,1.0,0.0,0.0,7,odd,0.38536545433021274
cel_randN,3,0.95,0.8,1.0,0.0,0.0,8,even,0.08860990249938538
cel_randN,3,0.95,0.8,1.0,0.0,0.0,9,odd,0.22409361956488283
cel_randN,3,0.95,0.8,1.0,0.0,0.0,10,even,0.07924847106822597
er_randN,3,0.95,0.8,1.0,0.0,0.0,1,odd,8.585533086472424
er_randN,3,0.95,0.8,1.0,0.0,0.0,2,even,0.0794990369045081
er_randN,3,0.95,0.8,1.0,0.0,0.0,3,odd,3.9555989585660427
er_randN,3,0.95,0.8,1.0,0.0,0.0,4,even,0.06764337212013238
er_randN,3,0.95,0.8,1.0,0.0,0.0,5,odd,1.1637869181414544
er_randN,3,0.95,0.8,1.0,0.0,0.0,6,even,0.09422840353670381
er_randN,3,0.95,0.8,1.0,0.0,0.0,7,odd,0.23855864091780177
er_randN,3,0.95,0.8,1.0,0.0,0.0,8,even,0.12904220449581771
